species	electiveCS_mean	VD_mean	b_mean	c_mean	d_mean	healthy_mean	genus_name	genus_lineage	species_name	species_lineage
Streptococcus_constellatus	0.0	0.68164	0.0	0.006766957	0.09093625	1.792857	Streptococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	Streptococcus constellatus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus constellatus
Fusobacterium_nucleatum	0.0	0.0	0.0	0.656354783	0.45586375	1.352510333	Fusobacterium	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;	Fusobacterium nucleatum	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium nucleatum
Streptococcus_intermedius	0.0	0.37749	0.0	0.060626087	0.025988125	1.894960667	Streptococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	Streptococcus intermedius	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus intermedius
Staphylococcus_capitis	0.0	2.14526	0.112095417	0.0	0.016064375	0.029716333	Staphylococcus	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;	Staphylococcus capitis	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus capitis
Bifidobacterium_bifidum	0.0	0.0	2.229050833	0.0	0.039173125	0.0	Bifidobacterium	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;	Bifidobacterium bifidum	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium bifidum
Escherichia_albertii	0.0	1.91088	0.055834167	0.0	0.0026675	0.0	Escherichia	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;	Escherichia albertii	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia albertii
Moraxella_catarrhalis	0.0	0.0	0.0	0.329273043	0.053753125	1.469836667	Moraxella	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;	Moraxella catarrhalis	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;Moraxella catarrhalis
Streptococcus_himalayensis	0.0	0.0	0.0	0.094225217	0.064105	1.661617667	Streptococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	Streptococcus himalayensis	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus himalayensis
Streptococcus_suis	0.0	0.0	0.0	0.0	0.075136875	1.622503	Streptococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	Streptococcus suis	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus suis
Prevotella_intermedia	0.0	0.0	0.0	0.0	0.6907	0.720467333	Prevotella	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;	Prevotella intermedia	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella intermedia
Eubacterium_sulci	0.0	0.0	0.0	0.744992174	0.2325575	0.425913333	Eubacterium	Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium;	Eubacterium sulci	Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiales Family XIII. Incertae Sedis;;[Eubacterium] sulci
Streptococcus_lutetiensis	0.0	0.0	0.0	0.0	0.0	1.366029667	Streptococcus	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;	Streptococcus lutetiensis	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus lutetiensis
Bifidobacterium_scardovii	0.0	0.0	0.003985833	0.056289565	1.2048425	0.026996667	Bifidobacterium	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;	Bifidobacterium scardovii	Bacteria;Actinobacteria;Actinomycetia;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium scardovii
Escherichia_marmotae	0.0	1.14939	0.04565375	0.0	0.00966125	0.0	Escherichia	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;	Escherichia marmotae	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia marmotae
Abiotrophia_defectiva	0.0	0.0	0.0	0.0	0.176370625	0.846027	Abiotrophia	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;	Abiotrophia defectiva	Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia;Abiotrophia defectiva
Aggregatibacter_aphrophilus	0.0	0.0	0.027007917	0.378754783	0.153554375	0.409302333	Aggregatibacter	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;	Aggregatibacter aphrophilus	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;Aggregatibacter aphrophilus
